State,Category,Year,AverageUnitPrice
Georgia,"Meats, eggs, and nuts",2021.0,4.789741444680169
Georgia,"Meats, eggs, and nuts",2022.0,5.367879809897182
Georgia,Sugar and sweeteners,2019.0,2.980094369564795
Georgia,Sugar and sweeteners,2020.0,3.432928865670107
Georgia,Sugar and sweeteners,2021.0,3.620661731139999
Georgia,Sugar and sweeteners,2022.0,4.128021452574745
Georgia,Vegetables,2019.0,1.8041723498441655
Georgia,Vegetables,2020.0,1.9021324086796543
Georgia,Vegetables,2021.0,1.9759483655327033
Georgia,Vegetables,2022.0,2.189568937538317
Illinois,Alcohol,2019.0,8.983786760567524
Illinois,Alcohol,2020.0,9.282170574133312
Illinois,Alcohol,2021.0,9.423435587428813
Illinois,Alcohol,2022.0,9.638994093317171
Illinois,Beverages,2019.0,2.6298257675331227
Illinois,Beverages,2020.0,2.7123439827710203
Illinois,Beverages,2021.0,2.8765445469377164
Illinois,Beverages,2022.0,3.248776940421798
Illinois,Commercially prepared items,2019.0,2.7352940394517913
Illinois,Commercially prepared items,2020.0,2.8257575800241828
Illinois,Commercially prepared items,2021.0,2.9790479854757885
Illinois,Commercially prepared items,2022.0,3.3673079783256443
Illinois,Dairy,2019.0,2.6377296482059274
Illinois,Dairy,2020.0,2.765838981720155
Illinois,Dairy,2021.0,2.8723674503697842
Illinois,Dairy,2022.0,3.2359311118952205
Illinois,Fats and oils,2019.0,3.479284147503485
Illinois,Fats and oils,2020.0,3.7275928370959823
Illinois,Fats and oils,2021.0,3.939461902552853
Illinois,Fats and oils,2022.0,4.87641150605858
Illinois,Fruits,2019.0,2.5244553219564896
Illinois,Fruits,2020.0,2.537072175005835
Illinois,Fruits,2021.0,2.6645032877926034
Illinois,Fruits,2022.0,2.900690608087349
Illinois,Grains,2019.0,2.0366814746415574
Illinois,Grains,2020.0,2.152417400444088
Illinois,Grains,2021.0,2.2619365992702325
Illinois,Grains,2022.0,2.634377625331314
Illinois,"Meats, eggs, and nuts",2019.0,4.385574752942265
Illinois,"Meats, eggs, and nuts",2020.0,4.561148520961837
Illinois,"Meats, eggs, and nuts",2021.0,4.813028247553994
Illinois,"Meats, eggs, and nuts",2022.0,5.339660958294467
Illinois,Sugar and sweeteners,2019.0,2.980124575601123
Illinois,Sugar and sweeteners,2020.0,3.506741712629448
Illinois,Sugar and sweeteners,2021.0,3.682530444998661
Illinois,Sugar and sweeteners,2022.0,4.174568023712705
Illinois,Vegetables,2019.0,1.8138119571436928
Illinois,Vegetables,2020.0,1.895601082525786
Illinois,Vegetables,2021.0,1.9619103249592962
Illinois,Vegetables,2022.0,2.157477570216217
Indiana,Alcohol,2019.0,11.117063342752969
Indiana,Alcohol,2020.0,11.41511448124174
Indiana,Alcohol,2021.0,11.686413639884309
Indiana,Alcohol,2022.0,12.413037439513737
Indiana,Beverages,2019.0,2.5039189151343355
Indiana,Beverages,2020.0,2.555801557364792
Indiana,Beverages,2021.0,2.717108100326419
Indiana,Beverages,2022.0,3.0932130393459265
Indiana,Commercially prepared items,2019.0,2.489027534904489
Indiana,Commercially prepared items,2020.0,2.568371655657349
Indiana,Commercially prepared items,2021.0,2.721867366634709
Indiana,Commercially prepared items,2022.0,3.1092634787709046
Indiana,Dairy,2019.0,2.4653392655151163
Indiana,Dairy,2020.0,2.560960150358899
Indiana,Dairy,2021.0,2.6818688902122534
Indiana,Dairy,2022.0,3.068068777192023
Indiana,Fats and oils,2019.0,3.249973953381591
Indiana,Fats and oils,2020.0,3.3711157059697956
Indiana,Fats and oils,2021.0,3.607825027744497
Indiana,Fats and oils,2022.0,4.505304493752943
Indiana,Fruits,2019.0,2.27205936042355
Indiana,Fruits,2020.0,2.3203115455163767
Indiana,Fruits,2021.0,2.5143695272966626
Indiana,Fruits,2022.0,2.804858078276516
Indiana,Grains,2019.0,2.020273906719799
Indiana,Grains,2020.0,2.07062905435134
Indiana,Grains,2021.0,2.1990864740514438
Indiana,Grains,2022.0,2.5346872352060266
Indiana,"Meats, eggs, and nuts",2019.0,4.007953926250403
Indiana,"Meats, eggs, and nuts",2020.0,4.16085454742627
Indiana,"Meats, eggs, and nuts",2021.0,4.431692834322262
Indiana,"Meats, eggs, and nuts",2022.0,4.970750023984603
Indiana,Sugar and sweeteners,2019.0,2.7590043544578458
Indiana,Sugar and sweeteners,2020.0,3.2002643781062496
Indiana,Sugar and sweeteners,2021.0,3.3767167786751604
Indiana,Sugar and sweeteners,2022.0,3.8553378006282037
Indiana,Vegetables,2019.0,1.6773889615636353
Indiana,Vegetables,2020.0,1.7519526708760802
Indiana,Vegetables,2021.0,1.8323769715667693
Indiana,Vegetables,2022.0,2.037096719211836
Iowa,Alcohol,2019.0,9.543092742460423
Iowa,Alcohol,2020.0,9.891103312829895
Iowa,Alcohol,2021.0,10.133383047513663
Iowa,Alcohol,2022.0,10.404558183740326
Iowa,Beverages,2019.0,2.476388671009436
Iowa,Beverages,2020.0,2.5437996144778343
Iowa,Beverages,2021.0,2.6649602125323613
Iowa,Beverages,2022.0,2.9777518802341603
Iowa,Commercially prepared items,2019.0,2.675064695791263
Iowa,Commercially prepared items,2020.0,2.793286230577618
Iowa,Commercially prepared items,2021.0,2.9229534483588555
Iowa,Commercially prepared items,2022.0,3.290690785986284
Iowa,Dairy,2019.0,2.6188144779398383
Iowa,Dairy,2020.0,2.7507677403732873
Iowa,Dairy,2021.0,2.8229334531130172
Iowa,Dairy,2022.0,3.184831578017407
Iowa,Fats and oils,2019.0,3.3018353976480883
Iowa,Fats and oils,2020.0,3.4134716077874057
Iowa,Fats and oils,2021.0,3.6452828455933712
Iowa,Fats and oils,2022.0,4.413073528233755
Iowa,Fruits,2019.0,2.650870410061493
Iowa,Fruits,2020.0,2.7353836262029083
Iowa,Fruits,2021.0,2.9186185429018208
Iowa,Fruits,2022.0,3.0947159953345422
Iowa,Grains,2019.0,2.2091547678655488
Iowa,Grains,2020.0,2.2518517348242257
Iowa,Grains,2021.0,2.359435823196163
Iowa,Grains,2022.0,2.690528754735405
Iowa,"Meats, eggs, and nuts",2019.0,4.341651056775268
Iowa,"Meats, eggs, and nuts",2020.0,4.471559240521649
Iowa,"Meats, eggs, and nuts",2021.0,4.677747042677551
Iowa,"Meats, eggs, and nuts",2022.0,5.173329963298774
Iowa,Sugar and sweeteners,2019.0,2.6256120490791064
Iowa,Sugar and sweeteners,2020.0,3.1153800710471478
Iowa,Sugar and sweeteners,2021.0,3.3155057628829807
Iowa,Sugar and sweeteners,2022.0,3.6926378964352593
Iowa,Vegetables,2019.0,1.759065489133057
Iowa,Vegetables,2020.0,1.8731738204170396
Iowa,Vegetables,2021.0,1.9454372987991542
Iowa,Vegetables,2022.0,2.1433048623159188
Kansas,Alcohol,2019.0,8.876812208403932
Kansas,Alcohol,2020.0,9.411234054574347
Kansas,Alcohol,2021.0,9.989766295691876
Kansas,Alcohol,2022.0,10.527766967431043
Kansas,Beverages,2019.0,2.5645948564078234
Kansas,Beverages,2020.0,2.6079515835776226
Kansas,Beverages,2021.0,2.751147959612072
Kansas,Beverages,2022.0,3.11656491186513
Kansas,Commercially prepared items,2019.0,2.6126159143217955
Kansas,Commercially prepared items,2020.0,2.687685904188042
Kansas,Commercially prepared items,2021.0,2.839052197075049
Kansas,Commercially prepared items,2022.0,3.2409124063503287
Kansas,Dairy,2019.0,2.6323068661461524
Kansas,Dairy,2020.0,2.7422086078544865
Kansas,Dairy,2021.0,2.827068516073572
Kansas,Dairy,2022.0,3.224202456202376
Kansas,Fats and oils,2019.0,3.3185563835552925
Kansas,Fats and oils,2020.0,3.4257489531041347
Kansas,Fats and oils,2021.0,3.667917715436279
Kansas,Fats and oils,2022.0,4.614886299704843
Kansas,Fruits,2019.0,2.4200291985559144
Kansas,Fruits,2020.0,2.4612804462800044
Kansas,Fruits,2021.0,2.658634384725721
Kansas,Fruits,2022.0,2.9138407761411713
Kansas,Grains,2019.0,2.1113468964863804
Kansas,Grains,2020.0,2.2119000405108427
Kansas,Grains,2021.0,2.3044985878667616
Kansas,Grains,2022.0,2.64941428511502
Kansas,"Meats, eggs, and nuts",2019.0,4.340998928573499
Kansas,"Meats, eggs, and nuts",2020.0,4.447943659257559
Kansas,"Meats, eggs, and nuts",2021.0,4.7108185601158645
Kansas,"Meats, eggs, and nuts",2022.0,5.267331781041978
Kansas,Sugar and sweeteners,2019.0,2.810387068304151
Kansas,Sugar and sweeteners,2020.0,3.264715769853978
Kansas,Sugar and sweeteners,2021.0,3.4009941546246196
Kansas,Sugar and sweeteners,2022.0,3.9056842769793367
Kansas,Vegetables,2019.0,1.6314477601091704
Kansas,Vegetables,2020.0,1.731148027884943
Kansas,Vegetables,2021.0,1.8036305514914057
Kansas,Vegetables,2022.0,1.9998804859628452
Kentucky,Alcohol,2019.0,8.62032134882208
Kentucky,Alcohol,2020.0,9.077360948785993
Kentucky,Alcohol,2021.0,9.28403235852992
Kentucky,Alcohol,2022.0,9.670620698005104
Kentucky,Beverages,2019.0,2.4596010551006935
Kentucky,Beverages,2020.0,2.5432349735670194
Kentucky,Beverages,2021.0,2.717787159001627
Kentucky,Beverages,2022.0,3.07502958049967
Kentucky,Commercially prepared items,2019.0,2.376150123865259
Kentucky,Commercially prepared items,2020.0,2.455637653958683
Kentucky,Commercially prepared items,2021.0,2.617445364265379
Kentucky,Commercially prepared items,2022.0,2.983689404874261
Kentucky,Dairy,2019.0,2.4399321470732036
Kentucky,Dairy,2020.0,2.5349522481168174
Kentucky,Dairy,2021.0,2.649572451159435
Kentucky,Dairy,2022.0,3.0478893341146645
Kentucky,Fats and oils,2019.0,3.0747560221396597
Kentucky,Fats and oils,2020.0,3.2008186263132083
Kentucky,Fats and oils,2021.0,3.4672370742150593
Kentucky,Fats and oils,2022.0,4.337958520722875
Kentucky,Fruits,2019.0,2.2866418236842367
Kentucky,Fruits,2020.0,2.343751628463697
Kentucky,Fruits,2021.0,2.521973928091538
Kentucky,Fruits,2022.0,2.7443777780975505
Kentucky,Grains,2019.0,1.9893791263738931
Kentucky,Grains,2020.0,2.036664897795481
Kentucky,Grains,2021.0,2.164451586174892
Kentucky,Grains,2022.0,2.502023585544826
Kentucky,"Meats, eggs, and nuts",2019.0,3.9455865086467585
Kentucky,"Meats, eggs, and nuts",2020.0,4.038893841410073
Kentucky,"Meats, eggs, and nuts",2021.0,4.312922968860953
Kentucky,"Meats, eggs, and nuts",2022.0,4.786164895219421
Kentucky,Sugar and sweeteners,2019.0,2.6709087982839463
Kentucky,Sugar and sweeteners,2020.0,3.062030604426604
Kentucky,Sugar and sweeteners,2021.0,3.3195032656550216
Kentucky,Sugar and sweeteners,2022.0,3.80582111035886
Kentucky,Vegetables,2019.0,1.640910575348113
Kentucky,Vegetables,2020.0,1.7347445476770953
Kentucky,Vegetables,2021.0,1.8157603694767717
Kentucky,Vegetables,2022.0,2.0196244730786943
Louisiana,Alcohol,2019.0,8.101758444623691
Louisiana,Alcohol,2020.0,8.433731747268371
Louisiana,Alcohol,2021.0,8.772675803479054
Louisiana,Alcohol,2022.0,9.115849809688907
Louisiana,Beverages,2019.0,2.5378448354955085
Louisiana,Beverages,2020.0,2.625472279435652
Louisiana,Beverages,2021.0,2.7780978483893017
Louisiana,Beverages,2022.0,3.104171624542715
Louisiana,Commercially prepared items,2019.0,2.457153444216623
Louisiana,Commercially prepared items,2020.0,2.562705298995889
Louisiana,Commercially prepared items,2021.0,2.7049223568530563
Louisiana,Commercially prepared items,2022.0,3.055539311298887
Louisiana,Dairy,2019.0,2.9533699346001305
Louisiana,Dairy,2020.0,3.0700294469673564
Louisiana,Dairy,2021.0,3.1172706330268323
Louisiana,Dairy,2022.0,3.4555462452741175
Louisiana,Fats and oils,2019.0,3.5386281572437523
Louisiana,Fats and oils,2020.0,3.6744063595695846
Louisiana,Fats and oils,2021.0,3.9941354179194017
Louisiana,Fats and oils,2022.0,4.930959088107467
Louisiana,Fruits,2019.0,2.5162851554608308
Louisiana,Fruits,2020.0,2.6165940031022887
Louisiana,Fruits,2021.0,2.7756327613636147
Louisiana,Fruits,2022.0,3.018779084517338
